axis_a,axis_b,excess_mean,n_donors,p_donor,q_donor,coupled_q05,coupled_q10,is_benchmark,pair_status
IL-13,IL-35,0.011719810954578545,10,0.03515625,0.1078125,False,False,False,
IL-16,VEGF,0.011568405341518961,10,0.017578125,0.0614121835443038,False,True,False,UNKNOWN
CD30L,TGF-beta1,0.011538864631691704,10,0.0029296875,0.01650191326530612,True,True,False,
IL-2,TL1A,0.011110920580508917,10,0.041015625,0.12439903846153846,False,False,False,
IL-16,TL1A,0.010615308655668862,10,0.0126953125,0.04735008445945946,True,True,False,
IL-13,IL-6,0.010041230406774126,10,0.005859375,0.02487980769230769,True,True,False,UNKNOWN
GM-CSF,VEGF,0.00991483624700619,10,0.0126953125,0.04735008445945946,True,True,False,UNKNOWN
CD30L,IFN-omega,0.009715579134290633,10,0.005859375,0.02487980769230769,True,True,False,
IFN-lambda1,IL-13,0.009675551635091718,10,0.03125,0.09801136363636363,False,True,False,
IFN-omega,IL-2,0.009656099173361837,10,0.0166015625,0.058743990384615384,False,True,False,
IL-17A,IL-35,0.009578838077900203,10,0.005859375,0.02487980769230769,True,True,False,
IFN-omega,IL-9,0.009425920207539329,10,0.00390625,0.019252232142857144,True,True,False,
IFN-beta,TNF-alpha,0.00892727147463871,10,0.1630859375,0.4055109797297297,False,False,False,
IL-6,VEGF,0.008743101755238097,10,0.001953125,0.011979166666666667,True,True,True,DIRECTIONAL_a_to_b
CD30L,TNF-alpha,0.008585210541344207,10,0.03125,0.09801136363636363,False,True,False,
IL-2,TNF-alpha,0.008566310912694618,10,0.1474609375,0.3724431818181818,False,False,False,
IL-10,IL-35,0.00807083784400121,10,0.0244140625,0.08217416158536585,False,True,False,
Decorin,IFN-lambda1,0.007992856973863167,10,0.0302734375,0.09801136363636363,False,True,False,
IFN-lambda1,IL-35,0.00787182708635278,10,0.0126953125,0.04735008445945946,True,True,False,
IFN-gamma,IL-27,0.007810930948218571,10,0.033203125,0.10296699438202248,False,False,False,
IFN-lambda1,VEGF,0.007572726751475229,10,0.029296875,0.09626116071428571,False,True,False,UNKNOWN
IL-16,IL-17A,0.007555011246839295,10,0.0234375,0.0798611111111111,False,True,False,
IL-10,IL-16,0.007430369253067867,10,0.1162109375,0.30546875,False,False,False,
IL-35,TNF-alpha,0.007066257451863393,10,0.0009765625,0.007486979166666667,True,True,False,
IL-27,IL-9,0.006954142669944657,10,0.0908203125,0.24574908088235295,False,False,False,PARTIAL_INHIBITORY
GM-CSF,IL-9,0.006679772075427614,10,0.107421875,0.2878489077669903,False,False,False,
IFN-lambda1,IL-17A,0.006632343250448288,10,0.0234375,0.0798611111111111,False,True,False,
CD30L,IL-10,0.006593586140028808,10,0.0556640625,0.1600341796875,False,False,False,
IL-36-alpha,IL-9,0.006564715253594128,10,0.142578125,0.3643663194444444,False,False,True,DIRECTIONAL_a_to_b
CD30L,TL1A,0.006362572174681269,10,0.00390625,0.019252232142857144,True,True,False,
CD30L,Decorin,0.006309860029622265,10,0.13671875,0.35265771028037385,False,False,False,
IL-9,TGF-beta1,0.006155638631595217,10,0.0830078125,0.2268332301980198,False,False,False,
GM-CSF,IL-13,0.006024409255579762,10,0.203125,0.4875,False,False,False,
IL-35,VEGF,0.005983899687619315,10,0.044921875,0.13331653225806453,False,False,False,WEAK_a_to_b
IL-27,TNF-alpha,0.00562966758304316,10,0.1484375,0.3724431818181818,False,False,False,
IFN-gamma,IL-12,0.005146927621377551,10,0.123046875,0.3203862028301887,False,False,False,
IL-27,TGF-beta1,0.0050461063809368895,10,0.0458984375,0.1333470394736842,False,False,False,
IFN-omega,IL-17A,0.004664317672343357,10,0.1103515625,0.29285606971153844,False,False,False,
IL-1-beta,IL-9,0.004646518996552279,10,0.173828125,0.42836216517857145,False,False,False,
GM-CSF,TGF-beta1,0.004155914752703645,10,0.07421875,0.20484375,False,False,False,
IFN-lambda1,IL-27,0.0039934398120512115,10,0.1865234375,0.45557936946902655,False,False,False,UNKNOWN
IL-10,IL-9,0.003986342907275843,10,0.248046875,0.585136217948718,False,False,False,
TGF-beta1,TL1A,0.003963691166237644,10,0.0634765625,0.1787707270408163,False,False,False,
IFN-lambda1,IL-36-alpha,0.003911029960474241,10,0.0458984375,0.1333470394736842,False,False,False,
IL-13,IL-27,0.0035691013235760764,10,0.265625,0.621292372881356,False,False,False,PARTIAL_INHIBITORY
IL-16,IL-35,0.003506487227328446,10,0.2294921875,0.5460331357758621,False,False,False,
CD30L,IL-12,0.0032436066752542627,10,0.0078125,0.03125,True,True,False,
IL-35,TGF-beta1,0.0031951469328740365,10,0.2021484375,0.4875,False,False,False,
CD30L,GM-CSF,0.0031105499309690104,10,0.068359375,0.19057765151515152,False,False,False,
IL-10,IL-13,0.002916470388679403,10,0.3701171875,0.8043491633858267,False,False,False,
IL-2,IL-27,0.0025354826984846056,10,0.3291015625,0.7325163810483871,False,False,False,
GM-CSF,IL-2,0.00208713918438424,10,0.3818359375,0.823333740234375,False,False,False,
IL-13,TNF-alpha,0.001641656693233096,10,0.3994140625,0.8479867788461538,False,False,False,
IFN-lambda1,TGF-beta1,0.0015919113207770418,10,0.2841796875,0.6398628048780488,False,False,False,
GM-CSF,IFN-lambda1,0.0015714732606125913,10,0.337890625,0.7401413690476191,False,False,False,
GM-CSF,IL-17A,0.0015341297358922334,10,0.2744140625,0.6364561449579832,False,False,False,LOW_CONFIDENCE
IL-16,IL-9,0.001506009090529834,10,0.3349609375,0.73959375,False,False,False,WEAK_b_to_a
